"id_reserva","id_cliente","GeographyKey","CurrencyKey","tipo_habitacion","noches","monto_reserva_origen","canal_reserva","cancelo_reserva"
"RES00001","CAM03705",609,39,"Deluxe",6,3717.7,"Web","No"
"RES00002","CAM09185",346,43,"Standard",13,3283.01,"Web","No"
"RES00003","CAM02342",32,65,"Junior Suite",12,3598.39,"Expedia","No"
"RES00004","CAM03629",312,90,"Standard",4,4666.95,"Call Center","No"
"RES00005","CAM01647",362,82,"Deluxe",2,2185.78,"Booking","No"
"RES00006","CAM07276",634,71,"Deluxe",10,3846.5,"Web","No"
"RES00007","CAM00164",357,93,"Deluxe",12,4514.84,"Booking","Si"
"RES00008","CAM05296",110,37,"Standard",4,758.46,"App","No"
"RES00009","CAM00389",215,94,"Standard",14,4753.5,"App","No"
"RES00010","CAM06458",362,35,"Standard",6,4011.16,"Booking","No"
"RES00011","CAM07000",611,92,"Deluxe",2,2266.74,"Booking","No"
"RES00012","CAM02963",511,85,"Suite Presidencial",9,4907.4,"Booking","No"
"RES00013","CAM00079",267,5,"Standard",9,3116.03,"Expedia","No"
"RES00014","CAM04445",103,94,"Standard",7,1071.28,"App","Si"
"RES00015","CAM01134",464,82,"Deluxe",6,3088.53,"Web","No"
"RES00016","CAM06001",427,83,"Deluxe",1,2629.99,"Call Center","No"
"RES00017","CAM06124",65,53,"Standard",11,4374.36,"Call Center","No"
"RES00018","CAM04022",217,8,"Suite Ejecutiva",7,4397.24,"App","No"
"RES00019","CAM09181",236,2,"Suite Presidencial",12,126.74,"Web","No"
"RES00020","CAM00357",343,53,"Standard",11,503.86,"App","No"
"RES00021","CAM06668",254,32,"Deluxe",7,3470.52,"Web","No"
"RES00022","CAM01059",508,52,"Suite Ejecutiva",3,1445.4,"Web","No"
"RES00023","CAM05644",430,90,"Junior Suite",6,2602.86,"Booking","No"
"RES00024","CAM00317",393,2,"Junior Suite",8,2374.89,"Web","No"
"RES00025","CAM07944",330,77,"Standard",6,2374.92,"App","Si"
"RES00026","CAM08178",617,92,"Deluxe",13,4459.55,"App","No"
"RES00027","CAM05372",181,10,"Deluxe",13,2609.48,"Booking","No"
"RES00028","CAM02269",303,94,"Deluxe",14,325.72,"Booking","No"
"RES00029","CAM02921",4,92,"Standard",4,1210.58,"App","No"
"RES00030","CAM01260",128,56,"Junior Suite",5,3837.7,"App","No"
"RES00031","CAM08685",165,72,"Standard",11,3597.69,"Web","No"
"RES00032","CAM08937",439,11,"Standard",12,2508.46,"Web","No"
"RES00033","CAM01520",374,40,"Standard",9,2571.41,"Web","No"
"RES00034","CAM03008",338,95,"Standard",8,2167.84,"Call Center","No"
"RES00035","CAM03173",286,71,"Deluxe",5,1823.94,"Booking","No"
"RES00036","CAM09541",277,78,"Deluxe",2,4416.84,"App","No"
"RES00037","CAM04331",442,41,"Suite Ejecutiva",13,4190.75,"Agencia","Si"
"RES00038","CAM09796",21,57,"Standard",12,4312.58,"Agencia","No"
"RES00039","CAM05440",115,49,"Deluxe",2,448.38,"App","No"
"RES00040","CAM08543",206,88,"Suite Ejecutiva",12,972.22,"Web","No"
"RES00041","CAM04744",326,56,"Deluxe",11,1321.54,"Web","No"
"RES00042","CAM08383",232,97,"Standard",12,3598.1,"Web","No"
"RES00043","CAM08451",642,83,"Junior Suite",7,1164.47,"Agencia","No"
"RES00044","CAM07069",640,6,"Standard",3,3701.13,"Booking","Si"
"RES00045","CAM08697",425,53,"Deluxe",7,3404.54,"Web","No"
"RES00046","CAM02740",239,6,"Standard",4,4388.37,"Web","No"
"RES00047","CAM09830",159,81,"Suite Presidencial",6,1598.08,"Booking","No"
"RES00048","CAM08100",507,48,"Suite Ejecutiva",1,4954.49,"Expedia","No"
"RES00049","CAM02079",528,26,"Standard",13,350.83,"Booking","Si"
"RES00050","CAM07488",324,45,"Standard",3,4833.59,"Web","No"
"RES00051","CAM07896",549,2,"Suite Presidencial",3,1401.27,"Expedia","No"
"RES00052","CAM00767",468,103,"Junior Suite",5,4789.01,"Call Center","No"
"RES00053","CAM02312",73,90,"Deluxe",5,3476.49,"Booking","No"
"RES00054","CAM06139",568,90,"Deluxe",13,4497.24,"Expedia","Si"
"RES00055","CAM05990",112,3,"Standard",6,994.65,"Booking","No"
"RES00056","CAM02488",205,11,"Deluxe",11,2941.52,"Agencia","No"
"RES00057","CAM07504",168,34,"Junior Suite",10,1042.02,"Web","No"
"RES00058","CAM08049",335,49,"Deluxe",8,2826.12,"Web","No"
"RES00059","CAM07932",232,74,"Deluxe",7,1673.31,"Web","No"
"RES00060","CAM05299",240,9,"Deluxe",8,537.54,"Booking","No"
"RES00061","CAM05377",583,67,"Standard",14,2485.88,"Agencia","No"
"RES00062","CAM07013",187,55,"Standard",12,1473.71,"Expedia","No"
"RES00063","CAM00625",409,3,"Deluxe",3,4638.28,"App","Si"
